timestamp,tag_id,x,y,z,anchor_1_dist,anchor_2_dist,anchor_3_dist,anchor_4_dist,anchor_5_dist,anchor_6_dist,device_timestamp
2025-11-27 15:46:45.764,1,2.185707,3.470843,0.158306,4.457594,3.233356,4.011628,8.745181,8.970613,4.642382,7848
2025-11-27 15:46:45.764,1,2.183506,3.470728,1,4.462679,3.235265,4.029193,8.74524,8.972692,4.647068,7873
2025-11-27 15:46:45.764,1,2.189071,3.469286,0.15709,4.47389,3.241931,4.037705,8.741144,8.978455,4.648648,7898
2025-11-27 15:46:45.764,1,2.187983,3.474939,1,4.469166,3.251267,4.010168,8.746236,8.979839,4.647809,7923
2025-11-27 15:46:45.865,1,2.184427,3.473555,0.158443,4.461343,3.258543,4.014595,8.747098,8.969528,4.64612,7948
2025-11-27 15:46:45.867,1,2.183549,3.469526,1,4.441785,3.251788,4.00976,8.748805,8.969776,4.643768,7973
2025-11-27 15:46:45.867,1,2.179992,3.476766,0.156369,4.46589,3.237204,4.017383,8.745994,8.981359,4.644006,7998
2025-11-27 15:46:45.867,1,2.179822,3.468953,1,4.450506,3.241371,4.032643,8.740696,8.968642,4.646262,8023
2025-11-27 15:46:45.914,1,2.179521,3.471317,0.160026,4.445765,3.235299,4.017613,8.739674,8.951484,4.650092,8048
2025-11-27 15:46:45.914,1,2.179178,3.472361,1,4.438965,3.237815,4.001758,8.741983,8.963998,4.647899,8073
2025-11-27 15:46:46.070,1,2.170528,3.472501,0.158733,4.437807,3.229422,4.011147,8.749996,8.970644,4.644119,8098
2025-11-27 15:46:46.070,1,2.167947,3.468105,1,4.436904,3.218739,4.020535,8.752099,8.96961,4.640138,8123
2025-11-27 15:46:46.073,1,2.169207,3.46876,0.16011,4.43413,3.226981,4.005071,8.750631,8.975018,4.637035,8148
2025-11-27 15:46:46.076,1,2.169715,3.466449,1,4.427826,3.23651,3.998197,8.7557,8.965771,4.62944,8173
2025-11-27 15:46:46.076,1,2.173215,3.46106,0.163364,4.423949,3.239794,3.995946,8.758615,8.959599,4.620415,8198
2025-11-27 15:46:46.076,1,2.170315,3.460584,1,4.412644,3.237177,3.989015,8.754673,8.964109,4.625807,8223
