timestamp,tag_id,x,y,anchor_1_dist,anchor_2_dist,anchor_3_dist,anchor_4_dist,anchor_5_dist,anchor_6_dist
2025-11-25 12:52:35.262,1,5.932292,0.956791,6.399012,7.386572,5.901247,6.411438,0,0
2025-11-25 12:52:35.315,1,5.94944,0.913132,6.386147,7.398256,5.924042,6.401959,0,0
2025-11-25 12:52:35.373,1,5.962718,0.909172,6.387962,7.406179,5.925756,6.381011,0,0
2025-11-25 12:52:35.435,1,5.967628,0.895747,6.380917,7.411138,5.919329,6.386581,0,0
2025-11-25 12:52:35.482,1,5.978324,0.857011,6.372978,7.414112,5.945872,6.368331,0,0
2025-11-25 12:52:35.535,1,5.961977,0.890707,6.354349,7.401088,5.897624,6.384534,0,0
2025-11-25 12:52:35.589,1,5.984884,0.881873,6.349368,7.437055,5.885742,6.38227,0,0
2025-11-25 12:52:35.645,1,5.980807,0.864815,6.344151,7.43193,5.902803,6.381349,0,0
2025-11-25 12:52:35.704,1,5.99372,0.8717,6.333553,7.432789,5.871039,6.368049,0,0
2025-11-25 12:52:35.748,1,5.989884,0.876281,6.336229,7.429518,5.866336,6.372642,0,0
2025-11-25 12:52:35.805,1,5.995953,0.896824,6.330044,7.448806,5.835036,6.380248,0,0
2025-11-25 12:52:35.865,1,6.014635,0.932184,6.322205,7.463489,5.767667,6.364935,0,0
2025-11-25 12:52:35.925,1,6.005842,0.894792,6.302524,7.460603,5.805529,6.38282,0,0
2025-11-25 12:52:35.984,1,6.012188,0.905239,6.307885,7.463772,5.789491,6.371456,0,0
2025-11-25 12:52:36.033,1,6.003837,0.897052,6.312569,7.464244,5.803357,6.388347,0,0
2025-11-25 12:52:37.049,1,6.005919,0.876483,6.290576,7.463539,5.812081,6.381716,0,0
2025-11-25 12:52:37.102,1,5.902046,1.012064,6.279507,7.338089,5.737213,6.435163,0,0
2025-11-25 12:52:37.102,1,5.826578,1.07879,6.272527,7.26326,5.722753,6.461448,0,0
2025-11-25 12:52:37.164,1,5.82277,1.055748,6.273334,7.260959,5.764945,6.450187,0,0
2025-11-25 12:52:37.213,1,5.834126,1.112581,6.274368,7.279654,5.674266,6.455161,0,0
2025-11-25 12:52:37.258,1,5.847821,1.107257,6.255636,7.297637,5.654448,6.45063,0,0
2025-11-25 12:52:37.314,1,5.830229,1.133587,6.241168,7.262875,5.635845,6.441236,0,0
2025-11-25 12:52:37.370,1,5.851324,1.064129,6.242101,7.302783,5.697036,6.447631,0,0
2025-11-25 12:52:37.425,1,5.925919,1.010658,6.252161,7.407163,5.692209,6.429309,0,0
2025-11-25 12:52:37.473,1,5.92014,0.991399,6.217027,7.426303,5.690732,6.483219,0,0
2025-11-25 12:52:37.523,1,5.911942,0.953509,6.166532,7.407599,5.675955,6.471807,0,0
2025-11-25 12:52:37.565,1,5.950476,0.933574,6.135436,7.452596,5.619246,6.452595,0,0
2025-11-25 12:52:37.614,1,5.996279,0.903664,6.134054,7.512134,5.615938,6.455184,0,0
2025-11-25 12:52:37.665,1,6.012227,0.888398,6.137969,7.53051,5.620369,6.444762,0,0
2025-11-25 12:52:37.712,1,6.08816,0.803391,6.135525,7.671673,5.646167,6.459383,0,0
2025-11-25 12:52:37.762,1,6.277167,0.655972,6.124852,7.929391,5.62331,6.470531,0,0
2025-11-25 12:52:37.820,1,6.157618,0.766797,6.129902,7.732985,5.610795,6.478282,0,0
2025-11-25 12:52:37.882,1,6.082402,0.848529,6.139706,7.622014,5.603262,6.470153,0,0
2025-11-25 12:52:37.933,1,5.942971,0.957261,6.147052,7.41933,5.626267,6.456734,0,0
