Tag_ID,Timestamp_ms,Anchor_ID,Raw_Distance_m,Filtered_Distance_m,Signal_Power_dBm,Anchor_Status
1,30114,2,1.9330,1.9742,-71.79,1
1,30121,3,4.2460,3.1822,-77.71,1
1,30127,4,11.4291,11.2427,-84.22,1
1,30133,5,10.5096,10.9933,-84.61,1
1,30219,1,9.6979,10.7800,-88.74,1
1,30226,2,2.0315,1.9868,-71.56,1
1,30232,3,4.3258,3.4346,-81.83,1
1,30238,4,11.2649,11.2476,-82.80,1
1,30244,5,10.3688,10.8554,-84.69,1
1,30315,1,9.5947,10.5184,-88.74,1
1,30322,2,2.0925,2.0101,-73.25,1
1,30328,3,4.4713,3.6634,-80.97,1
1,30334,4,11.1570,11.2276,-82.80,1
1,30340,5,10.2797,10.7284,-83.55,1
1,30409,1,9.5477,10.3042,-88.44,1
1,30415,2,2.3130,2.0770,-75.01,1
1,30421,3,4.4337,3.8334,-82.14,1
1,30428,4,11.1289,11.2058,-82.08,1
1,30437,5,10.2046,10.6128,-85.17,1
1,30508,1,9.3741,10.0989,-90.12,1
1,30514,2,2.2380,2.1125,-81.05,1
1,30520,3,4.5369,3.9886,-82.50,1
1,30527,4,11.0913,11.1806,-81.43,1
1,30533,5,10.0545,10.4896,-84.14,1
1,30617,1,9.2052,9.9017,-90.87,1
1,30624,2,2.2333,2.1392,-81.14,1
1,30630,3,4.6730,4.1397,-81.43,1
1,30636,4,11.0444,11.1505,-81.27,1
1,30643,5,10.0638,10.3956,-84.22,1
1,30713,1,9.0833,9.7211,-88.03,1
1,30719,2,2.4538,2.2086,-80.88,1
1,30725,3,4.6683,4.2563,-83.79,1
1,30732,4,11.0538,11.1292,-78.92,1
1,30738,5,10.0310,10.3151,-83.72,1
1,30807,1,9.0316,9.5689,-88.66,1
1,30813,2,2.4538,2.2627,-80.52,1
1,30819,3,4.6824,4.3504,-81.34,1
1,30826,4,10.9928,11.0991,-81.67,1
1,30832,5,9.9231,10.2286,-83.05,1
1,30917,1,9.0035,9.4441,-87.47,1
1,30923,2,2.5805,2.3328,-77.27,1
1,30929,3,4.6871,4.4247,-83.55,1
1,30936,4,10.9459,11.0653,-82.07,1
1,30942,5,9.8809,10.1519,-83.08,1
1,31013,1,9.0176,9.3500,-87.06,1
1,31019,2,2.6790,2.4092,-77.71,1
1,31026,3,4.8278,4.5136,-82.44,1
1,31032,4,10.8380,11.0151,-82.51,1
1,31038,5,9.8527,10.0858,-82.14,1
1,31108,1,8.8674,9.2435,-87.85,1
1,31114,2,2.8010,2.4957,-80.38,1
1,31120,3,4.9920,4.6192,-81.91,1
1,31126,4,10.7488,10.9563,-83.24,1
1,31133,5,9.7260,10.0064,-81.67,1
1,31218,1,8.7267,9.1294,-86.01,1
1,31224,2,2.9277,2.5910,-81.31,1
1,31231,3,5.3439,4.7792,-82.48,1
1,31237,4,10.6644,10.8919,-83.89,1
1,31243,5,9.6322,9.9238,-81.83,1
1,31314,1,8.6938,9.0333,-85.93,1
1,31320,2,3.0074,2.6829,-81.69,1
1,31326,3,5.0906,4.8479,-83.05,1
1,31332,4,10.5096,10.8075,-84.94,1
1,31339,5,9.4398,9.8170,-83.29,1
1,31411,1,8.5296,8.9221,-85.69,1
1,31418,2,3.1763,2.7918,-81.91,1
1,31425,3,5.1656,4.9180,-81.68,1
1,31431,4,10.4345,10.7252,-85.69,1
1,31437,5,9.2522,9.6924,-84.21,1
1,31508,1,8.3795,8.8024,-86.60,1
1,31514,2,3.2186,2.8860,-83.86,1
1,31520,3,5.2032,4.9809,-82.89,1
1,31527,4,10.3782,10.6486,-85.29,1
1,31533,5,9.1630,9.5755,-82.40,1
1,31617,1,8.2059,8.6707,-86.60,1
1,31623,2,3.4109,3.0018,-82.49,1
1,31630,3,5.2735,5.0455,-83.13,1
1,31636,4,10.2797,10.5672,-83.79,1
1,31642,5,9.0926,9.4690,-83.08,1
1,31712,1,8.0792,8.5402,-87.39,1
1,31718,2,3.6455,3.1439,-81.36,1
1,31724,3,5.4753,5.1404,-82.27,1
1,31731,4,10.2468,10.4965,-83.77,1
1,31737,5,8.9566,9.3559,-83.06,1
1,31806,1,8.0464,8.4312,-85.65,1
1,31812,2,3.7722,3.2826,-81.29,1
1,31819,3,5.6207,5.2464,-82.60,1
1,31825,4,10.2093,10.4331,-82.86,1
1,31831,5,8.9472,9.2657,-82.34,1
1,31916,1,7.9338,8.3214,-86.93,1
1,31922,2,3.7346,3.3823,-83.89,1
1,31929,3,5.8225,5.3735,-82.39,1
1,31935,4,10.3360,10.4117,-82.86,1
1,31941,5,8.9050,9.1861,-83.03,1
1,32012,1,7.7977,8.2058,-85.17,1
1,32018,2,3.9927,3.5170,-82.36,1
1,32024,3,5.7568,5.4581,-84.68,1
1,32031,4,10.3594,10.4001,-83.55,1
1,32037,5,8.7361,9.0868,-82.59,1
1,32106,1,7.7414,8.1033,-84.60,1
1,32112,2,4.0959,3.6448,-82.31,1
1,32119,3,5.6207,5.4940,-84.08,1
1,32125,4,10.3219,10.3829,-83.00,1
1,32131,5,8.6282,8.9855,-83.35,1
1,32217,1,7.6335,7.9997,-83.99,1
1,32223,2,4.0396,3.7319,-85.16,1
1,32230,3,5.8506,5.5727,-84.84,1
1,32236,4,10.2750,10.3590,-82.20,1
1,32242,5,8.5156,8.8818,-82.94,1
1,32312,1,7.4505,7.8785,-86.09,1
1,32318,2,4.1241,3.8185,-85.16,1
1,32325,3,6.0336,5.6744,-82.08,1
1,32331,4,10.1530,10.3136,-83.10,1
1,32337,5,8.4123,8.7782,-82.70,1
1,32406,1,7.3848,7.7695,-85.69,1
1,32413,2,4.4619,3.9605,-82.48,1
1,32419,3,6.1321,5.7754,-81.32,1
1,32425,4,10.1342,10.2740,-82.76,1
1,32432,5,8.2903,8.6705,-82.49,1
1,32517,1,7.1831,7.6401,-85.48,1
1,32523,2,4.4853,4.0763,-83.23,1
1,32530,3,6.0758,5.8417,-84.26,1
1,32536,4,10.1389,10.2442,-82.19,1
1,32542,5,8.3232,8.5939,-81.68,1
1,32613,1,7.0986,7.5206,-84.42,1
1,32619,2,4.6448,4.2018,-83.79,1
1,32625,3,6.1791,5.9162,-86.28,1
1,32631,4,10.0826,10.2085,-82.35,1
1,32638,5,8.0886,8.4824,-82.62,1
1,32707,1,7.0470,7.4161,-84.92,1
1,32713,2,4.9310,4.3627,-82.07,1
